Confirmed,Date,Deaths,People_Hospitalized,People_Tested,Province_State,Recovered
12,03-10-2020,0,0,154,Colorado,0
133,03-10-2020,0,0,823,California,0
6,03-10-2020,0,8,57,Arizona,0
0,03-10-2020,0,0,12,Arkansas,0
0,03-10-2020,0,0,0,Alabama,0
1,03-10-2020,0,0,1,Missouri,0
2,03-10-2020,0,0,2,Hawaii,0
0,03-10-2020,0,0,23,Alaska,0
0,03-10-2020,0,0,0,Mississippi,0
7,03-10-2020,0,0,7,North Carolina,0
0,03-10-2020,0,0,15,Montana,0
0,03-10-2020,0,0,0,Wyoming,0
0,03-10-2020,0,0,2,West Virginia,0
2,03-10-2020,0,0,38,Wisconsin,0
1453,03-10-2020,37,0,5613,Washington,0
1,03-10-2020,0,0,61,Vermont,0
8,03-10-2020,0,0,61,Virginia,0
13,03-10-2020,0,0,13,Texas,0
7,03-10-2020,0,0,7,Tennessee,0
0,03-10-2020,0,0,11,South Dakota,0
7,03-10-2020,0,0,31,South Carolina,0
2,03-10-2020,0,0,2,Utah,0
12,03-10-2020,0,0,12,Pennsylvania,0
3,03-10-2020,0,0,61,Rhode Island,0
3,03-10-2020,0,0,50,Nebraska,0
4,03-10-2020,0,0,42,New Hampshire,0
15,03-10-2020,0,0,59,New Jersey,0
0,03-10-2020,0,0,69,New Mexico,0
0,03-10-2020,0,0,6,North Dakota,0
173,03-10-2020,0,0,265,New York,0
3,03-10-2020,0,0,17,Ohio,0
2,03-10-2020,0,0,17,Oklahoma,0
15,03-10-2020,0,0,228,Oregon,0
1,03-10-2020,0,0,15,Nevada,0
0,03-11-2020,0,0,67,Idaho,0
21,03-11-2020,0,0,238,Minnesota,0
497,03-11-2020,0,0,554,Michigan,0
0,03-11-2020,0,0,42,Maine,0
9,03-11-2020,0,0,103,Maryland,0
6,03-11-2020,0,0,43,Louisiana,0
8,03-11-2020,0,0,54,Kentucky,0
1,03-11-2020,0,0,42,Kansas,0
10,03-11-2020,0,0,43,Indiana,0
19,03-11-2020,0,0,263,Illinois,0
13,03-11-2020,0,0,59,Iowa,0
0,03-11-2020,0,0,46,Alaska,0
22,03-11-2020,0,0,22,Georgia,0
28,03-11-2020,2,0,329,Florida,0
1,03-11-2020,0,0,18,Delaware,0
5,03-11-2020,0,0,25,District of Columbia,0
3,03-11-2020,0,0,74,Connecticut,0
28,03-11-2020,0,0,279,Colorado,0
157,03-11-2020,0,0,1073,California,0
9,03-11-2020,0,11,68,Arizona,0
0,03-11-2020,0,0,12,Arkansas,0
0,03-11-2020,0,0,10,Alabama,0
2,03-11-2020,0,0,2,Hawaii,0
0,03-11-2020,0,0,20,Mississippi,0
1,03-11-2020,0,0,1,Missouri,0
7,03-11-2020,0,0,7,North Carolina,0
0,03-11-2020,0,0,0,Wyoming,0
0,03-11-2020,0,0,3,West Virginia,0
3,03-11-2020,0,0,46,Wisconsin,0
1665,03-11-2020,40,0,7880,Washington,0
2,03-11-2020,0,0,93,Vermont,0
9,03-11-2020,0,0,69,Virginia,0
2,03-11-2020,0,0,2,Utah,0
21,03-11-2020,0,0,21,Texas,0
7,03-11-2020,0,0,57,Tennessee,0
5,03-11-2020,0,0,18,South Dakota,0
9,03-11-2020,0,0,41,South Carolina,0
0,03-11-2020,0,0,21,Montana,0
16,03-11-2020,0,0,104,Pennsylvania,0
19,03-11-2020,0,0,305,Oregon,0
2,03-11-2020,0,0,17,Oklahoma,0
4,03-11-2020,0,0,25,Ohio,0
216,03-11-2020,0,0,308,New York,0
5,03-11-2020,0,0,173,Nevada,0
3,03-11-2020,0,0,90,New Mexico,0
24,03-11-2020,1,0,81,New Jersey,0
4,03-11-2020,0,0,42,New Hampshire,0
5,03-11-2020,0,0,52,Nebraska,0
0,03-11-2020,0,0,7,North Dakota,0
5,03-11-2020,0,0,99,Rhode Island,0
25,03-12-2020,0,0,291,Illinois,0
12,03-12-2020,0,0,64,Indiana,0
4,03-12-2020,0,0,45,Kansas,0
8,03-12-2020,0,0,64,Kentucky,0
702,03-12-2020,0,0,793,Michigan,0
8,03-12-2020,0,0,8,Massachusetts,0
12,03-12-2020,0,0,106,Maryland,0
1,03-12-2020,0,0,66,Maine,0
0,03-12-2020,0,0,93,Idaho,0
14,03-12-2020,0,0,51,Louisiana,0
14,03-12-2020,0,0,81,Iowa,0
6,03-12-2020,0,0,95,Connecticut,0
31,03-12-2020,0,0,31,Georgia,0
32,03-12-2020,2,0,333,Florida,0
4,03-12-2020,0,0,27,Delaware,0
10,03-12-2020,0,0,30,District of Columbia,0
45,03-12-2020,0,0,343,Colorado,0
202,03-12-2020,4,0,1118,California,0
9,03-12-2020,0,16,91,Arizona,0
6,03-12-2020,0,0,30,Arkansas,0
0,03-12-2020,0,0,10,Alabama,0
43,03-12-2020,0,0,350,Minnesota,0
2,03-12-2020,0,0,2,Hawaii,0
0,03-12-2020,0,0,46,Alaska,0
1,03-12-2020,0,0,65,Missouri,0
1,03-12-2020,0,0,35,Montana,0
1,03-12-2020,0,0,42,Mississippi,0
1,03-12-2020,0,0,1,Wyoming,0
0,03-12-2020,0,0,7,West Virginia,0
9,03-12-2020,0,0,93,Wisconsin,0
1921,03-12-2020,44,0,11644,Washington,0
2,03-12-2020,0,0,138,Vermont,0
17,03-12-2020,0,0,134,Virginia,0
23,03-12-2020,0,0,23,Texas,0
18,03-12-2020,0,0,97,Tennessee,0
8,03-12-2020,0,0,35,South Dakota,0
10,03-12-2020,0,0,58,South Carolina,0
5,03-12-2020,0,0,99,Rhode Island,0
4,03-12-2020,0,0,135,Utah,0
19,03-12-2020,0,0,305,Oregon,0
22,03-12-2020,0,0,138,Pennsylvania,0
1,03-12-2020,0,0,13,North Dakota,0
10,03-12-2020,0,0,90,Nebraska,0
6,03-12-2020,0,0,100,New Hampshire,0
30,03-12-2020,1,0,104,New Jersey,0
12,03-12-2020,0,0,72,North Carolina,0
7,03-12-2020,0,0,175,Nevada,0
216,03-12-2020,0,0,308,New York,0
5,03-12-2020,0,0,35,Ohio,0
3,03-12-2020,0,0,39,Oklahoma,0
5,03-12-2020,0,0,160,New Mexico,0
0,03-13-2020,0,0,131,Idaho,0
945,03-13-2020,0,0,1078,Michigan,0
3,03-13-2020,0,0,94,Maine,0
17,03-13-2020,0,0,111,Maryland,0
23,03-13-2020,0,0,23,Massachusetts,0
36,03-13-2020,0,0,73,Louisiana,0
11,03-13-2020,0,0,118,Kentucky,0
