Admin2,City,Confirmed,Date,Deaths,Province_State,d10_Confirmed,d10_Deaths,d11_Confirmed,d11_Deaths,d12_Confirmed,d12_Deaths,d13_Confirmed,d13_Deaths,d14_Confirmed,d14_Deaths,d15_Confirmed,d15_Deaths,d16_Confirmed,d16_Deaths,d17_Confirmed,d17_Deaths,d18_Confirmed,d18_Deaths,d19_Confirmed,d19_Deaths,d1_Confirmed,d1_Deaths,d20_Confirmed,d20_Deaths,d21_Confirmed,d21_Deaths,d22_Confirmed,d22_Deaths,d23_Confirmed,d23_Deaths,d24_Confirmed,d24_Deaths,d25_Confirmed,d25_Deaths,d26_Confirmed,d26_Deaths,d27_Confirmed,d27_Deaths,d28_Confirmed,d28_Deaths,d2_Confirmed,d2_Deaths,d3_Confirmed,d3_Deaths,d4_Confirmed,d4_Deaths,d5_Confirmed,d5_Deaths,d6_Confirmed,d6_Deaths,d7_Confirmed,d7_Deaths,d8_Confirmed,d8_Deaths,d9_Confirmed,d9_Deaths,dWeek_Confirmed,dWeek_Deaths,dYesterday_Confirmed,dYesterday_Deaths,Population
DeKalb,,3896,11-08-2020,32,Alabama,25,0,42,0,20,1,31,-1,35,0,38,0,28,0,58,0,48,1,58,0,39,0,29,1,34,1,38,0,59,0,40,0,54,2,29,0,59,0,16,0,37,2,30,-1,21,0,48,1,18,0,12,0,33,0,79,1,205.0,2.0,39,0,71513.0
Elmore,,3454,11-08-2020,59,Alabama,14,0,13,0,19,5,19,0,19,0,8,0,27,0,25,1,20,0,21,0,16,0,12,0,14,0,7,0,29,0,17,0,19,1,14,1,28,0,15,0,35,0,24,0,13,0,24,0,17,0,11,0,5,0,17,1,140.0,0.0,16,0,81209.0
Escambia,,1829,11-08-2020,31,Alabama,2,0,5,0,4,0,19,1,3,0,2,0,3,0,3,1,5,1,1,0,6,0,4,0,6,0,1,0,7,0,4,1,4,0,-3,0,6,0,0,0,6,0,14,0,6,0,12,0,17,0,0,0,2,0,6,0,61.0,0.0,6,0,36633.0
Etowah,,4887,11-08-2020,58,Alabama,26,1,54,0,24,1,29,0,27,0,20,0,51,1,27,1,65,0,65,0,34,0,37,0,29,0,40,0,27,0,28,1,27,2,31,1,32,0,15,0,61,1,47,0,32,2,135,1,15,0,33,0,18,0,67,1,357.0,4.0,34,0,102268.0
Fayette,,664,11-08-2020,15,Alabama,5,0,5,0,5,0,5,0,7,0,3,0,5,0,8,0,4,0,4,1,6,0,6,0,7,0,4,0,4,0,7,1,5,1,2,0,3,0,4,0,14,0,13,0,7,0,8,0,6,1,2,0,0,0,4,1,56.0,1.0,6,0,16302.0
Franklin,,2250,11-08-2020,34,Alabama,13,0,17,0,13,0,3,1,6,0,3,0,20,0,11,0,4,0,20,0,5,1,6,0,10,0,7,0,22,0,24,0,12,1,16,0,4,0,5,0,13,0,13,1,17,0,10,0,3,0,4,0,65,0,13,0,65.0,2.0,5,1,31362.0
Geneva,,1025,11-08-2020,8,Alabama,17,0,7,0,14,0,5,0,10,0,6,0,39,0,9,0,8,0,3,0,9,0,8,0,4,0,6,0,9,0,4,0,4,0,7,1,3,0,4,0,4,0,9,0,10,0,8,1,1,0,9,0,4,0,12,0,50.0,1.0,9,0,26271.0
Greene,,361,11-08-2020,17,Alabama,1,0,-1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,3,0,6,0,0,0,4,0,0,0,1,1,-1,0,3,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,5,1,10.0,0.0,3,0,8111.0
Hale,,825,11-08-2020,30,Alabama,2,0,1,0,3,0,0,0,9,0,1,0,9,0,9,0,1,0,3,1,2,0,0,0,8,0,3,0,5,0,3,0,12,0,2,0,9,0,4,0,3,0,3,0,1,0,15,0,3,0,2,0,3,0,10,0,29.0,0.0,2,0,14651.0
Henry,,777,11-08-2020,6,Alabama,5,0,3,0,5,0,4,0,2,0,9,0,65,0,4,0,1,0,1,0,1,0,6,0,3,0,7,0,1,0,5,0,4,1,6,0,3,0,5,0,6,0,4,0,4,0,5,0,5,0,5,0,3,0,8,0,30.0,0.0,1,0,17205.0
Houston,,4485,11-08-2020,36,Alabama,26,1,27,0,19,0,13,0,10,0,22,0,431,0,25,2,37,0,9,0,13,0,15,0,8,0,24,0,17,0,23,3,22,4,22,0,4,0,17,0,36,0,28,1,31,0,36,0,0,0,21,0,20,0,35,0,165.0,1.0,13,0,105882.0
Jackson,,2476,11-08-2020,22,Alabama,29,1,34,0,25,0,19,2,16,0,10,0,24,0,25,0,45,0,46,0,11,0,18,1,12,0,15,0,21,0,42,1,25,0,31,1,11,0,16,0,26,1,17,0,36,2,23,0,4,0,12,0,26,0,39,1,129.0,3.0,11,0,51626.0
Jefferson,,25827,11-08-2020,403,Alabama,148,-1,171,2,196,6,130,0,151,0,163,0,141,2,127,1,141,0,157,2,200,0,163,0,100,0,106,0,164,1,133,7,151,2,94,0,136,0,87,0,257,12,211,0,186,1,219,2,157,0,125,0,187,4,197,0,1355.0,15.0,200,0,658573.0
Lamar,,554,11-08-2020,7,Alabama,2,0,7,0,8,0,2,0,10,0,6,0,16,0,8,0,7,0,3,0,1,0,-1,0,2,0,9,0,5,0,12,2,3,0,2,0,1,0,3,0,9,0,3,0,1,0,7,0,-2,1,1,0,4,0,5,1,20.0,1.0,1,0,13805.0
Lauderdale,,2937,11-08-2020,47,Alabama,32,0,34,0,33,1,25,0,19,0,32,0,82,0,32,1,23,1,38,0,26,0,24,0,20,0,14,0,35,0,20,1,24,1,6,1,9,0,17,0,37,2,39,0,15,1,22,1,33,0,22,0,278,0,28,0,194.0,4.0,26,0,92729.0
Lawrence,,1003,11-08-2020,35,Alabama,14,0,8,0,8,0,8,1,3,0,8,0,13,0,16,1,10,0,11,0,8,0,8,1,4,0,6,0,10,0,13,0,11,2,7,0,12,0,13,0,12,1,6,0,9,0,10,1,12,0,5,0,25,0,17,0,62.0,2.0,8,0,32924.0
